,kot,pies,krowa,koń,świnia,owce,koza,kurczak,kaczka,gęś,królik,mysz,szczur,jeleń,niedźwiedź,wilk,lis,lew,tygrys,słoń,małpa,żyrafa,zebra,wielbłąd,kangur,wąż,żaba,ryba,wieloryb,delfin,orzeł,sowa,wrona,pszczoła,mrówka,motyl,pająk,żółw,rekin,pingwin
delfín,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.10,0.17,0.17,0.17,0.00,0.00,0.00,0.00,0.17,0.25,0.00,0.00,0.00,0.00,0.25,0.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.14
águila,0.00,0.17,0.17,0.00,0.17,0.00,0.17,0.14,0.17,0.17,0.00,0.00,0.00,0.00,0.10,0.33,0.17,0.00,0.00,0.00,0.17,0.17,0.17,0.00,0.00,0.00,0.17,0.17,0.00,0.00,0.00,0.17,0.17,0.12,0.17,0.17,0.00,0.00,0.17,0.14
búho,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.00,0.00,0.00,0.12,0.00,0.00,0.00,0.00,0.12,0.00,0.00,0.00,0.00,0.00,0.00
cuervo,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.00,0.00,0.00,0.00,0.17,0.10,0.00,0.00,0.17,0.17,0.00,0.00,0.00,0.17,0.12,0.00,0.00,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.12,0.00,0.00,0.00,0.00,0.17,0.00
abeja,0.00,0.20,0.20,0.00,0.17,0.00,0.20,0.14,0.33,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.20,0.00,0.00,0.20,0.17,0.20,0.12,0.17,0.00,0.40,0.20,0.12,0.00,0.00,0.20,0.20,0.12,0.17,0.00,0.00,0.00,0.00,0.00
hormiga,0.14,0.14,0.29,0.14,0.29,0.14,0.29,0.14,0.14,0.00,0.14,0.14,0.00,0.00,0.10,0.14,0.14,0.00,0.00,0.00,0.14,0.29,0.14,0.00,0.00,0.00,0.14,0.29,0.00,0.14,0.29,0.29,0.29,0.12,0.29,0.14,0.00,0.00,0.14,0.00
mariposa,0.12,0.25,0.38,0.12,0.25,0.00,0.25,0.12,0.25,0.00,0.12,0.25,0.00,0.00,0.00,0.12,0.25,0.00,0.12,0.12,0.50,0.25,0.12,0.00,0.12,0.00,0.25,0.25,0.00,0.00,0.12,0.25,0.38,0.25,0.38,0.12,0.12,0.00,0.12,0.00
araña,0.00,0.00,0.40,0.00,0.17,0.00,0.20,0.29,0.33,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.50,0.20,0.00,0.17,0.00,0.40,0.40,0.00,0.00,0.20,0.20,0.40,0.12,0.33,0.00,0.00,0.00,0.00,0.00
tortuga,0.29,0.00,0.29,0.14,0.14,0.14,0.29,0.14,0.14,0.00,0.14,0.00,0.14,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.14,0.29,0.14,0.00,0.14,0.00,0.14,0.29,0.00,0.00,0.29,0.29,0.29,0.12,0.29,0.29,0.00,0.00,0.14,0.00
tiburón,0.00,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.10,0.14,0.14,0.00,0.29,0.00,0.00,0.00,0.29,0.12,0.14,0.00,0.14,0.14,0.25,0.14,0.00,0.00,0.14,0.00,0.00,0.00,0.00,0.00,0.14,0.29
pingüino,0.00,0.25,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.12,0.12,0.00,0.00,0.00,0.20,0.12,0.12,0.00,0.12,0.00,0.00,0.00,0.00,0.12,0.25,0.00,0.00,0.00,0.12,0.25,0.00,0.00,0.12,0.12,0.00,0.00,0.12,0.00,0.25,0.75
